           year        tco2               alk        d13Cocn        pCO2           d13Catm         CO3           WeatC          WeatS         TotW           BurC            Degas            Tatm           Tocn
       50.00000        2.48173        2.19976       -0.18180      636.26279      -14.12187      231.99031       11.66044       10.42440       22.08484       15.49758        7.50000       18.94887        5.30212
      100.00000        2.48235        2.20682       -0.24863      586.85496      -13.46152      225.74314       11.29628       10.09885       21.39513       13.93578        7.50000       18.55259        5.46464
      150.00000        2.48303        2.21262       -0.30335      546.80272      -12.81431      220.73620       10.98356        9.81927       20.80283       12.68405        7.50000       18.20273        5.60155
      200.00000        2.48375        2.21741       -0.34821      514.29366      -12.19473      216.73155       10.71665        9.58066       20.29731       11.68289        7.50000       17.89678        5.71631
      250.00000        2.48450        2.22138       -0.38501      487.86737      -11.61393      213.53694       10.49007        9.37810       19.86817       10.88423        7.50000       17.63150        5.81207
      300.00000        2.48527        2.22468       -0.41525      466.34880      -11.07948      210.99721       10.29862        9.20694       19.50556       10.24930        7.50000       17.40319        5.89163
      350.00000        2.48606        2.22745       -0.44010      448.79304      -10.59558      208.98725       10.13746        9.06286       19.20032        9.74681        7.50000       17.20795        5.95744
      400.00000        2.48686        2.22978       -0.46054      434.44013      -10.16352      207.40612       10.00219        8.94194       18.94413        9.35153        7.50000       17.04187        6.01166
      450.00000        2.48766        2.23176       -0.47737      422.67852       -9.78233      206.17233        9.88892        8.84067       18.72958        9.04308        7.50000       16.90119        6.05614
      500.00000        2.48847        2.23346       -0.49123      413.01566       -9.44944      205.22005        9.79419        8.75598       18.55016        8.80501        7.50000       16.78240        6.09245
      550.00000        2.48929        2.23492       -0.50266      405.05436       -9.16120      204.49600        9.71501        8.68519       18.40021        8.62400        7.50000       16.68231        6.12195
      600.00000        2.49011        2.23620       -0.51208      398.47399       -8.91342      203.95706        9.64883        8.62603       18.27486        8.48927        7.50000       16.59807        6.14575
      650.00000        2.49092        2.23732       -0.51985      393.01542       -8.70170      203.56828        9.59346        8.57653       18.16999        8.39207        7.50000       16.52718        6.16482
      700.00000        2.49173        2.23831       -0.52626      388.46897       -8.52169      203.30130        9.54706        8.53504       18.08210        8.32532        7.50000       16.46748        6.17996
      750.00000        2.49254        2.23920       -0.53156      384.66480       -8.36927      203.13309        9.50807        8.50019       18.00827        8.28327        7.50000       16.41712        6.19181
      800.00000        2.49335        2.24001       -0.53593      381.46522       -8.24066      203.04497        9.47522        8.47082       17.94604        8.26124        7.50000       16.37452        6.20095
      850.00000        2.49415        2.24075       -0.53955      378.75850       -8.13244      203.02172        9.44741        8.44596       17.89337        8.25543        7.50000       16.33837        6.20782
      900.00000        2.49495        2.24143       -0.54253      376.45390       -8.04159      203.05098        9.42376        8.42482       17.84859        8.26275        7.50000       16.30755        6.21281
      950.00000        2.49575        2.24206       -0.54500      374.47767       -7.96547      203.12270        9.40354        8.40674       17.81028        8.28067        7.50000       16.28114        6.21622
     1000.00000        2.49654        2.24266       -0.54705      372.76986       -7.90179      203.22868        9.38613        8.39118       17.77731        8.30717        7.50000       16.25836        6.21833
     1500.00000        2.50413        2.24745       -0.55540      363.11981       -7.63369      205.17087        9.29068        8.30584       17.59653        8.79272        7.50000       16.13277        6.20060
     2000.00000        2.51115        2.25137       -0.55664      357.83245       -7.59041      207.47202        9.24125        8.26165       17.50290        9.36800        7.50000       16.06725        6.15715
     2500.00000        2.51764        2.25491       -0.55670      353.47960       -7.58271      209.67649        9.20097        8.22565       17.42662        9.91912        7.50000       16.01365        6.10814
     3000.00000        2.52363        2.25815       -0.55645      349.57353       -7.58050      211.73308        9.16467        8.19319       17.35786       10.43327        7.50000       15.96514        6.05856
     3500.00000        2.52915        2.26112       -0.55605      346.01719       -7.57908      213.64360        9.13139        8.16344       17.29483       10.91090        7.50000       15.92052        6.01035
     4000.00000        2.53424        2.26385       -0.55553      342.76917       -7.57772      215.41652        9.10080        8.13609       17.23689       11.35413        7.50000       15.87937        5.96442
     4500.00000        2.53892        2.26634       -0.55491      339.79865       -7.57634      217.06082        9.07265        8.11093       17.18358       11.76521        7.50000       15.84139        5.92117
     5000.00000        2.54324        2.26863       -0.55420      337.07905       -7.57491      218.58511        9.04674        8.08776       17.13450       12.14628        7.50000       15.80633        5.88074
     5500.00000        2.54721        2.27072       -0.55341      334.58671       -7.57345      219.99758        9.02286        8.06642       17.08928       12.49939        7.50000       15.77396        5.84311
     6000.00000        2.55087        2.27264       -0.55255      332.30052       -7.57196      221.30591        9.00086        8.04675       17.04761       12.82648        7.50000       15.74405        5.80818
     6500.00000        2.55422        2.27438       -0.55163      330.20155       -7.57044      222.51736        8.98057        8.02861       17.00918       13.12934        7.50000       15.71641        5.77581
     7000.00000        2.55731        2.27598       -0.55065      328.27283       -7.56891      223.63873        8.96185        8.01187       16.97372       13.40968        7.50000       15.69085        5.74584
     7500.00000        2.56015        2.27743       -0.54963      326.49906       -7.56737      224.67642        8.94457        7.99642       16.94099       13.66910        7.50000       15.66722        5.71810
     8000.00000        2.56275        2.27876       -0.54856      324.86650       -7.56581      225.63637        8.92861        7.98215       16.91076       13.90909        7.50000       15.64536        5.69243
     8500.00000        2.56513        2.27996       -0.54745      323.36271       -7.56425      226.52419        8.91386        7.96896       16.88282       14.13105        7.50000       15.62512        5.66868
     9000.00000        2.56732        2.28105       -0.54631      321.97649       -7.56269      227.34508        8.90022        7.95677       16.85699       14.33627        7.50000       15.60638        5.64671
     9500.00000        2.56932        2.28204       -0.54514      320.69767       -7.56112      228.10390        8.88760        7.94549       16.83310       14.52598        7.50000       15.58903        5.62636
    10000.00000        2.57115        2.28294       -0.54394      319.51706       -7.55955      228.80519        8.87593        7.93506       16.81098       14.70130        7.50000       15.57294        5.60752
    10500.00000        2.57282        2.28375       -0.54272      318.42631       -7.55799      229.45316        8.86511        7.92539       16.79050       14.86329        7.50000       15.55803        5.59006
    11000.00000        2.57435        2.28448       -0.54148      317.41783       -7.55642      230.05174        8.85510        7.91643       16.77153       15.01294        7.50000       15.54420        5.57389
    11500.00000        2.57575        2.28513       -0.54021      316.48473       -7.55486      230.60457        8.84581        7.90813       16.75394       15.15114        7.50000       15.53136        5.55889
    12000.00000        2.57701        2.28572       -0.53893      315.62072       -7.55330      231.11505        8.83719        7.90043       16.73762       15.27876        7.50000       15.51944        5.54498
    12500.00000        2.57817        2.28624       -0.53764      314.82009       -7.55174      231.58633        8.82919        7.89327       16.72247       15.39658        7.50000       15.50837        5.53208
    13000.00000        2.57922        2.28671       -0.53633      314.07762       -7.55019      232.02132        8.82176        7.88663       16.70840       15.50533        7.50000       15.49807        5.52009
    13500.00000        2.58017        2.28712       -0.53501      313.38855       -7.54864      232.42275        8.81486        7.88046       16.69532       15.60569        7.50000       15.48850        5.50896
    14000.00000        2.58103        2.28748       -0.53368      312.74852       -7.54710      232.79311        8.80843        7.87472       16.68315       15.69828        7.50000       15.47959        5.49861
    14500.00000        2.58180        2.28779       -0.53233      312.15355       -7.54556      233.13476        8.80246        7.86937       16.67183       15.78369        7.50000       15.47129        5.48899
    15000.00000        2.58250        2.28807       -0.53099      311.60001       -7.54403      233.44984        8.79689        7.86440       16.66128       15.86246        7.50000       15.46355        5.48003
    15500.00000        2.58313        2.28830       -0.52963      311.08457       -7.54250      233.74035        8.79170        7.85976       16.65145       15.93509        7.50000       15.45633        5.47169
    16000.00000        2.58369        2.28850       -0.52827      310.60416       -7.54098      234.00816        8.78686        7.85543       16.64228       16.00204        7.50000       15.44960        5.46391
    16500.00000        2.58419        2.28867       -0.52690      310.15599       -7.53946      234.25497        8.78233        7.85138       16.63372       16.06374        7.50000       15.44331        5.45666
    17000.00000        2.58464        2.28880       -0.52553      309.73751       -7.53795      234.48238        8.77811        7.84761       16.62571       16.12060        7.50000       15.43742        5.44989
    17500.00000        2.58503        2.28891       -0.52416      309.34634       -7.53645      234.69186        8.77415        7.84407       16.61823       16.17297        7.50000       15.43192        5.44357
    18000.00000        2.58537        2.28899       -0.52278      308.98034       -7.53494      234.88476        8.77045        7.84076       16.61122       16.22119        7.50000       15.42676        5.43766
    18500.00000        2.58568        2.28905       -0.52140      308.63751       -7.53345      235.06235        8.76698        7.83766       16.60464       16.26559        7.50000       15.42193        5.43213
    19000.00000        2.58594        2.28908       -0.52002      308.31604       -7.53196      235.22579        8.76373        7.83475       16.59848       16.30645        7.50000       15.41739        5.42695
    19500.00000        2.58616        2.28910       -0.51864      308.01425       -7.53047      235.37616        8.76067        7.83202       16.59269       16.34404        7.50000       15.41312        5.42209
