year        tco2         alk     d13Cocn        pCO2     d13Catm     CO3   WeatC   WeatS    TotW    BurC   Degas    Tatm        Tocn
     2500.00000        2.56931        2.35884       -1.32067      518.62733       -8.36853      176.36843       10.53154        9.41517       19.94671        1.59211        7.50000       17.68044        7.77933
     3000.00000        2.58399        2.36739       -1.32228      504.33792       -8.36779      180.89968       10.42856        9.32311       19.75167        2.72492        7.50000       17.55856        7.71039
     3500.00000        2.59760        2.37524       -1.32325      491.47708       -8.36766      185.16916       10.33418        9.23873       19.57290        3.79229        7.50000       17.44588        7.62241
     4000.00000        2.61021        2.38245       -1.32368      479.87990       -8.36716      189.18362       10.24762        9.16135       19.40897        4.79590        7.50000       17.34171        7.52656
     4500.00000        2.62188        2.38907       -1.32365      469.40446       -8.36622      192.95155       10.16822        9.09036       19.25858        5.73789        7.50000       17.24543        7.42927
     5000.00000        2.63268        2.39513       -1.32322      459.92671       -8.36489      196.48249       10.09533        9.02520       19.12054        6.62062        7.50000       17.15645        7.33413
     5500.00000        2.64265        2.40069       -1.32245      451.33790       -8.36322      199.78662       10.02841        8.96537       18.99378        7.44666        7.50000       17.07422        7.24309
     6000.00000        2.65187        2.40578       -1.32137      443.54256       -8.36127      202.87458        9.96691        8.91039       18.87731        8.21865        7.50000       16.99821        7.15708
     6500.00000        2.66036        2.41044       -1.32003      436.45675       -8.35907      205.75718        9.91038        8.85986       18.77024        8.93930        7.50000       16.92796        7.07646
     7000.00000        2.66820        2.41470       -1.31846      430.00655       -8.35667      208.44528        9.85838        8.81337       18.67175        9.61132        7.50000       16.86301        7.00128
     7500.00000        2.67542        2.41859       -1.31669      424.12675       -8.35409      210.94965        9.81052        8.77058       18.58110       10.23741        7.50000       16.80296        6.93138
     8000.00000        2.68206        2.42213       -1.31474      418.75967       -8.35137      213.28086        9.76644        8.73117       18.49761       10.82021        7.50000       16.74741        6.86651
     8500.00000        2.68817        2.42537       -1.31264      413.85425       -8.34852      215.44918        9.72581        8.69485       18.42067       11.36229        7.50000       16.69601        6.80638
     9000.00000        2.69379        2.42831       -1.31040      409.36516       -8.34558      217.46457        9.68836        8.66136       18.34972       11.86614        7.50000       16.64844        6.75067
     9500.00000        2.69894        2.43098       -1.30804      405.25212       -8.34254      219.33658        9.65379        8.63046       18.28426       12.33415        7.50000       16.60440        6.69908
    10000.00000        2.70367        2.43340       -1.30558      401.47919       -8.33944      221.07439        9.62188        8.60193       18.22381       12.76860        7.50000       16.56361        6.65129
    10500.00000        2.70801        2.43560       -1.30302      398.01434       -8.33627      222.68670        9.59239        8.57557       18.16797       13.17168        7.50000       16.52581        6.60703
    11000.00000        2.71197        2.43758       -1.30038      394.82888       -8.33306      224.18183        9.56513        8.55120       18.11634       13.54546        7.50000       16.49076        6.56603
    11500.00000        2.71560        2.43937       -1.29767      391.89713       -8.32981      225.56761        9.53991        8.52866       18.06857       13.89190        7.50000       16.45826        6.52803
    12000.00000        2.71891        2.44098       -1.29490      389.19603       -8.32652      226.85147        9.51657        8.50779       18.02435       14.21287        7.50000       16.42810        6.49280
    12500.00000        2.72193        2.44242       -1.29207      386.70483       -8.32321      228.04041        9.49494        8.48845       17.98339       14.51010        7.50000       16.40011        6.46012
    13000.00000        2.72468        2.44370       -1.28919      384.40488       -8.31987      229.14099        9.47489        8.47052       17.94541       14.78525        7.50000       16.37410        6.42980
