           year        tco2         alk     d13Cocn        pCO2     d13Catm     CO3   WeatC   WeatS    TotW    BurC   Degas    Tatm        Tocn
      900.00000        2.52034        2.35022       -1.51156      671.46547       -9.25752      148.83306       11.53868       10.31555       21.85424       -5.29174        7.50000       18.81766        7.89616
      950.00000        2.52259        2.35185       -1.51754      667.00177       -9.14631      149.23222       11.50916       10.28916       21.79833       -5.19194        7.50000       18.78566        7.94063
     1000.00000        2.52483        2.35342       -1.52254      662.94298       -9.05365      149.67759       11.48260       10.26541       21.74801       -5.08060        7.50000       18.75679        7.98144
     1500.00000        2.54640        2.36732       -1.54559      632.54067       -8.67074      155.10746       11.28948       10.09277       21.38225       -3.72313        7.50000       18.54507        8.23951
     2000.00000        2.56654        2.37968       -1.55281      608.46201       -8.61439      160.74627       11.13683        9.95630       21.09313       -2.31343        7.50000       18.37534        8.32122
     2500.00000        2.58529        2.39103       -1.55688      587.12780       -8.60822      166.15914       10.99851        9.83264       20.83116       -0.96021        7.50000       18.21967        8.30557
     3000.00000        2.60275        2.40146       -1.55970      568.00964       -8.60900      171.30899       10.87166        9.71924       20.59090        0.32725        7.50000       18.07531        8.23645
     3500.00000        2.61897        2.41106       -1.56163      550.84234       -8.61009      176.19039       10.75526        9.61518       20.37044        1.54760        7.50000       17.94147        8.13967
     4000.00000        2.63403        2.41987       -1.56283      535.39308       -8.61059      180.80790       10.64839        9.51963       20.16802        2.70198        7.50000       17.81741        8.03036
     4500.00000        2.64799        2.42797       -1.56341      521.47108       -8.61042      185.16420       10.55028        9.43192       19.98219        3.79105        7.50000       17.70249        7.91732
     5000.00000        2.66093        2.43540       -1.56344      508.90561       -8.60968      189.26552       10.46019        9.35138       19.81156        4.81638        7.50000       17.59611        7.80558
     5500.00000        2.67291        2.44221       -1.56299      497.54641       -8.60845      193.11957       10.37744        9.27740       19.65484        5.77989        7.50000       17.49765        7.69789
     6000.00000        2.68399        2.44845       -1.56214      487.26143       -8.60678      196.73519       10.30141        9.20943       19.51084        6.68380        7.50000       17.40654        7.59566
     6500.00000        2.69422        2.45417       -1.56092      477.93462       -8.60476      200.12202       10.23151        9.14695       19.37846        7.53051        7.50000       17.32223        7.49953
     7000.00000        2.70367        2.45940       -1.55938      469.46387       -8.60243      203.29025       10.16723        9.08948       19.25671        8.32256        7.50000       17.24423        7.40966
     7500.00000        2.71239        2.46417       -1.55757      461.75925       -8.59983      206.25037       10.10808        9.03660       19.14468        9.06259        7.50000       17.17206        7.32595
     8000.00000        2.72042        2.46854       -1.55552      454.74139       -8.59702      209.01298       10.05362        8.98791       19.04154        9.75325        7.50000       17.10526        7.24816
     8500.00000        2.72782        2.47252       -1.55327      448.34021       -8.59401      211.58870       10.00345        8.94306       18.94651       10.39717        7.50000       17.04343        7.17598
     9000.00000        2.73463        2.47614       -1.55082      442.49365       -8.59085      213.98797        9.95721        8.90172       18.85892       10.99699        7.50000       16.98618        7.10905
     9500.00000        2.74088        2.47943       -1.54822      437.14670       -8.58755      216.22103        9.91455        8.86358       18.77813       11.55526        7.50000       16.93315        7.04701
    10000.00000        2.74663        2.48243       -1.54547      432.25049       -8.58414      218.29782        9.87518        8.82839       18.70357       12.07445        7.50000       16.88403        6.98953
    10500.00000        2.75189        2.48514       -1.54260      427.76153       -8.58064      220.22792        9.83882        8.79588       18.63470       12.55698        7.50000       16.83851        6.93627
    11000.00000        2.75672        2.48759       -1.53962      423.64105       -8.57705      222.02054        9.80522        8.76584       18.57106       13.00514        7.50000       16.79630        6.88691
    11500.00000        2.76114        2.48981       -1.53655      419.85440       -8.57340      223.68449        9.77415        8.73806       18.51221       13.42112        7.50000       16.75714        6.84115
    12000.00000        2.76518        2.49180       -1.53339      416.37059       -8.56970      225.22815        9.74540        8.71236       18.45776       13.80704        7.50000       16.72081        6.79872
    12500.00000        2.76887        2.49359       -1.53015      413.16184       -8.56594      226.65947        9.71877        8.68856       18.40733       14.16487        7.50000       16.68708        6.75937
    13000.00000        2.77223        2.49519       -1.52685      410.20319       -8.56215      227.98598        9.69410        8.66650       18.36059       14.49650        7.50000       16.65574        6.72284
    13500.00000        2.77528        2.49662       -1.52349      407.47222       -8.55833      229.21481        9.67122        8.64604       18.31726       14.80370        7.50000       16.62662        6.68893
    14000.00000        2.77806        2.49788       -1.52008      404.94869       -8.55448      230.35265        9.64998        8.62706       18.27704       15.08816        7.50000       16.59954        6.65743
    14500.00000        2.78058        2.49900       -1.51663      402.61438       -8.55061      231.40579        9.63026        8.60943       18.23969       15.35145        7.50000       16.57434        6.62815
    15000.00000        2.78286        2.49998       -1.51314      400.45279       -8.54673      232.38016        9.61194        8.59305       18.20498       15.59504        7.50000       16.55087        6.60093
    15500.00000        2.78491        2.50083       -1.50961      398.44903       -8.54283      233.28131        9.59489        8.57780       18.17269       15.82033        7.50000       16.52901        6.57560
    16000.00000        2.78676        2.50157       -1.50605      396.58958       -8.53893      234.11441        9.57902        8.56362       18.14263       16.02860        7.50000       16.50862        6.55202
    16500.00000        2.78842        2.50220       -1.50247      394.86219       -8.53502      234.88432        9.56423        8.55039       18.11462       16.22108        7.50000       16.48960        6.53004
    17000.00000        2.78990        2.50273       -1.49886      393.25573       -8.53110      235.59559        9.55044        8.53807       18.08850       16.39890        7.50000       16.47183        6.50955
    17500.00000        2.79122        2.50317       -1.49523      391.76007       -8.52718      236.25242        9.53756        8.52656       18.06412       16.56311        7.50000       16.45523        6.49044
    18000.00000        2.79239        2.50352       -1.49159      390.36602       -8.52327      236.85878        9.52554        8.51580       18.04134       16.71469        7.50000       16.43970        6.47259
    18500.00000        2.79343        2.50380       -1.48793      389.06518       -8.51935      237.41832        9.51429        8.50575       18.02004       16.85458        7.50000       16.42516        6.45590
    19000.00000        2.79433        2.50400       -1.48426      387.84990       -8.51544      237.93448        9.50376        8.49633       18.00009       16.98362        7.50000       16.41153        6.44030
    19500.00000        2.79511        2.50414       -1.48058      386.71320       -8.51153      238.41042        9.49389        8.48751       17.98140       17.10260        7.50000       16.39875        6.42569
    20000.00000        2.79578        2.50421       -1.47689      385.64870       -8.50762      238.84911        9.48463        8.47923       17.96386       17.21228        7.50000       16.38674        6.41200
    20500.00000        2.79636        2.50423       -1.47319      384.65057       -8.50372      239.25329        9.47593        8.47146       17.94739       17.31332        7.50000       16.37546        6.39916
