k,i
844.047266,95.638947
845.437789,94.841171
846.828312,94.103226
848.218835,93.666168
849.609358,93.781876
850.999881,93.714371
852.390404,93.635651
853.780927,93.270935
855.171450,92.765274
856.561973,92.747208
857.952496,92.954697
859.343019,92.919159
860.733542,92.458176
862.124065,91.568115
863.514588,90.854523
864.905111,91.508484
866.295634,92.007660
867.686157,91.298584
869.076680,90.354889
870.467203,90.015533
871.857726,89.448822
873.248249,89.188263
874.638772,89.279709
876.029294,89.586456
877.419817,89.211548
878.810340,89.048569
880.200863,89.413574
881.591386,89.260223
882.981909,88.870041
884.372432,88.685654
885.762955,88.182999
887.153478,87.584229
888.544001,87.347260
889.934524,86.912827
891.325047,86.743484
892.715570,87.066254
894.106093,86.779846
895.496616,86.500763
896.887139,86.029922
898.277662,86.149689
899.668185,86.537094
901.058708,86.539612
902.449231,85.469131
903.839754,84.796768
905.230277,85.890945
906.620800,86.151886
908.011322,84.825668
909.401845,83.674133
910.792368,82.972321
912.182891,82.711029
913.573414,82.912399
914.963937,83.155762
916.354460,83.060913
917.744983,82.226456
919.135506,81.990738
920.526029,82.409882
921.916552,82.767502
923.307075,82.585312
924.697598,82.159058
926.088121,81.710648
927.478644,80.980316
928.869167,80.366913
930.259690,80.466873
931.650213,80.760971
933.040736,80.601303
934.431259,79.815552
935.821782,79.539688
937.212305,79.619904
938.602828,79.236572
939.993351,78.856064
941.383873,79.082733
942.774396,78.721588
944.164919,77.425735
945.555442,76.684616
946.945965,77.078949
948.336488,77.339371
949.727011,76.782089
951.117534,76.396500
952.508057,76.105606
953.898580,75.811081
955.289103,75.258072
956.679626,74.779205
958.070149,74.478683
959.460672,75.075348
960.851195,75.046417
962.241718,74.087448
963.632241,73.769226
965.022764,74.503738
966.413287,74.310104
967.803810,73.603302
969.194333,73.314392
970.584856,73.568756
971.975379,73.573120
973.365901,72.730225
974.756424,72.073044
976.146947,71.204315
977.537470,70.706772
978.927993,70.352661
980.318516,70.458160
981.709039,70.463882
983.099562,69.665604
984.490085,68.715759
985.880608,68.288422
987.271131,67.921295
988.661654,67.654800
990.052177,66.243256
991.442700,64.435257
992.833223,63.078781
994.223746,62.550095
995.614269,63.003586
997.004792,62.845978
998.395315,61.282120
999.785838,59.997925
1001.176361,59.206161
1002.566884,57.578461
1003.957407,55.831146
1005.347929,54.990417
1006.738452,54.392685
1008.128975,52.776917
1009.519498,51.211502
1010.910021,50.180954
1012.300544,48.566238
1013.691067,46.977371
1015.081590,45.885712
1016.472113,44.689484
1017.862636,42.728790
1019.253159,41.511841
1020.643682,40.718735
1022.034205,39.880341
1023.424728,39.128769
1024.815251,38.463470
1026.205774,38.748978
1027.596297,38.876419
1028.986820,39.135498
1030.377343,39.238205
1031.767866,38.049362
1033.158389,36.551651
1034.548912,35.422882
1035.939435,32.779266
1037.329957,30.969757
1038.720480,30.096008
1040.111003,31.968018
1041.501526,39.370026
1042.892049,45.807602
1044.282572,44.114655
1045.673095,38.493896
1047.063618,33.713242
1048.454141,31.294739
1049.844664,30.632263
1051.235187,30.237305
1052.625710,28.935135
1054.016233,28.712769
1055.406756,29.961044
1056.797279,31.066589
1058.187802,32.588821
1059.578325,32.620407
1060.968848,34.578384
1062.359371,37.691086
1063.749894,40.741196
1065.140417,43.281647
1066.530940,44.813232
1067.921463,45.282028
1069.311985,45.914139
1070.702508,46.646347
1072.093031,46.972687
1073.483554,47.019852
1074.874077,46.852219
1076.264600,46.934509
1077.655123,46.563004
1079.045646,46.230209
1080.436169,46.232773
1081.826692,45.695709
1083.217215,45.148468
1084.607738,45.749634
1085.998261,46.160782
1087.388784,45.723923
1088.779307,45.494934
1090.169830,45.965286
1091.560353,45.146133
1092.950876,44.139038
1094.341399,43.669479
1095.731922,43.718185
1097.122445,44.154007
1098.512968,44.798325
1099.903491,45.312286
1101.294014,44.667023
1102.684536,43.255615
1104.075059,43.196442
1105.465582,43.737274
1106.856105,43.376083
1108.246628,43.707687
1109.637151,44.377274
1111.027674,44.645569
1112.418197,43.852951
1113.808720,42.909790
1115.199243,42.513748
1116.589766,42.682648
1117.980289,43.295517
1119.370812,43.800858
1120.761335,43.313126
1122.151858,42.080200
1123.542381,41.666122
1124.932904,41.557281
1126.323427,41.249725
1127.713950,41.594620
1129.104473,42.094803
1130.494996,42.355316
1131.885519,42.518555
1133.276042,42.534332
1134.666564,43.464935
1136.057087,43.943726
1137.447610,42.626129
1138.838133,41.242126
1140.228656,41.140503
1141.619179,40.889435
1143.009702,40.060776
1144.400225,39.994385
1145.790748,40.470581
1147.181271,41.047272
1148.571794,41.829346
1149.962317,41.666458
1151.352840,41.562439
1152.743363,41.298767
1154.133886,40.788788
1155.524409,41.084930
1156.914932,41.421295
1158.305455,41.749786
1159.695978,41.394318
1161.086501,40.818085
1162.477024,40.752579
1163.867547,41.290314
1165.258070,41.380020
1166.648592,39.820694
1168.039115,39.207932
1169.429638,39.242569
1170.820161,38.672089
1172.210684,39.087006
1173.601207,40.180084
1174.991730,40.205521
1176.382253,38.849014
1177.772776,38.368393
1179.163299,38.932602
1180.553822,38.269989
1181.944345,37.312912
1183.334868,37.791763
1184.725391,38.187302
1186.115914,38.406387
1187.506437,37.823853
1188.896960,36.638092
1190.287483,35.522919
1191.678006,35.202026
1193.068529,36.102646
1194.459052,37.335770
1195.849575,37.632156
1197.240098,36.769485
1198.630620,36.170975
1200.021143,34.814819
1201.411666,34.008530
1202.802189,34.387604
1204.192712,35.097992
1205.583235,35.005798
1206.973758,34.076874
1208.364281,34.883545
1209.754804,35.969711
1211.145327,36.082535
1212.535850,36.445099
1213.926373,36.268219
1215.316896,35.540939
1216.707419,35.777740
1218.097942,36.503708
1219.488465,36.182037
1220.878988,35.474350
1222.269511,35.890747
1223.660034,36.422470
1225.050557,36.270325
1226.441080,35.424011
1227.831603,34.977051
1229.222126,35.160614
1230.612648,35.809235
1232.003171,35.150116
1233.393694,34.730392
1234.784217,34.837433
1236.174740,34.454025
1237.565263,35.029633
1238.955786,36.024490
1240.346309,35.707886
1241.736832,33.759109
1243.127355,31.926422
1244.517878,31.299377
1245.908401,31.557983
1247.298924,32.271149
1248.689447,33.502335
1250.079970,34.168808
1251.470493,33.535736
1252.861016,31.415192
1254.251539,30.580627
1255.642062,31.111252
1257.032585,30.634735
1258.423108,27.566666
1259.813631,24.680618
1261.204154,25.778198
1262.594676,27.165131
1263.985199,26.369705
1265.375722,24.939972
1266.766245,23.201859
1268.156768,21.039185
1269.547291,19.850021
1270.937814,20.456207
1272.328337,22.989395
1273.718860,24.559998
1275.109383,24.458740
1276.499906,23.888321
1277.890429,25.144913
1279.280952,25.853043
1280.671475,23.988480
1282.061998,23.030472
1283.452521,25.955353
1284.843044,28.273453
1286.233567,24.360260
1287.624090,21.134811
1289.014613,22.582214
1290.405136,24.280258
1291.795659,23.032730
1293.186182,20.444626
1294.576705,19.072174
1295.967227,18.457916
1297.357750,18.713654
1298.748273,19.144257
1300.138796,17.949539
1301.529319,16.122375
1302.919842,12.070103
1304.310365,10.807117
1305.700888,15.415720
1307.091411,21.215500
1308.481934,23.418640
1309.872457,23.970840
1311.262980,22.341354
1312.653503,21.176758
1314.044026,22.180237
1315.434549,21.617126
1316.825072,19.728210
1318.215595,19.471970
1319.606118,20.719986
1320.996641,22.751251
1322.387164,25.524384
1323.777687,28.335022
1325.168210,26.804657
1326.558733,23.980179
1327.949255,24.842941
1329.339778,25.017273
1330.730301,23.041626
1332.120824,22.572891
1333.511347,23.189606
1334.901870,20.704651
1336.292393,15.759345
1337.682916,13.918284
1339.073439,14.159436
1340.463962,14.542260
1341.854485,17.283630
1343.245008,21.937698
1344.635531,22.905762
1346.026054,20.752670
1347.416577,19.994888
1348.807100,19.485901
1350.197623,19.801041
1351.588146,20.086899
1352.978669,19.372711
1354.369192,19.647690
1355.759715,20.783707
1357.150238,20.841248
1358.540761,19.755280
1359.931283,17.479141
1361.321806,15.438926
1362.712329,16.425339
1364.102852,19.536942
1365.493375,20.820526
1366.883898,19.590607
1368.274421,18.532623
1369.664944,19.264755
1371.055467,17.961533
1372.445990,14.039416
1373.836513,12.379016
1375.227036,13.906946
1376.617559,16.471344
1378.008082,18.450424
1379.398605,18.872070
1380.789128,19.441803
1382.179651,20.221802
1383.570174,19.040527
1384.960697,16.980789
1386.351220,15.275284
1387.741743,15.182254
1389.132266,15.874286
1390.522789,16.458694
1391.913311,15.441632
1393.303834,13.160913
1394.694357,11.673973
1396.084880,12.364481
1397.475403,12.703320
1398.865926,13.461497
1400.256449,15.182920
1401.646972,15.701886
1403.037495,14.758363
1404.428018,14.251986
1405.818541,16.112671
1407.209064,19.065903
1408.599587,18.629807
1409.990110,16.600403
1411.380633,16.895767
1412.771156,17.047104
1414.161679,15.393719
1415.552202,12.652647
1416.942725,8.888958
1418.333248,7.365128
1419.723771,9.134496
1421.114294,11.543102
1422.504817,11.574036
1423.895339,12.471997
1425.285862,14.513160
1426.676385,14.692258
1428.066908,12.902092
1429.457431,11.253396
1430.847954,11.206503
1432.238477,11.963477
1433.629000,11.275348
1435.019523,7.930753
1436.410046,7.283950
1437.800569,11.786020
1439.191092,13.167516
1440.581615,13.634480
1441.972138,14.508825
1443.362661,13.985955
1444.753184,12.391398
1446.143707,8.690755
1447.534230,7.097743
1448.924753,10.578267
1450.315276,11.679659
1451.705799,10.309794
1453.096322,9.490005
1454.486845,6.513363
1455.877367,4.053894
1457.267890,3.580748
1458.658413,6.121088
1460.048936,9.470924
1461.439459,9.399416
1462.829982,6.144579
1464.220505,5.245154
1465.611028,7.211199
1467.001551,9.626245
1468.392074,9.909331
1469.782597,5.900489
1471.173120,4.517839
1472.563643,3.708081
1473.954166,5.190830
1475.344689,6.606483
1476.735212,9.365206
1478.125735,10.288850
1479.516258,9.551997
1480.906781,9.257027
1482.297304,10.086342
1483.687827,10.475320
1485.078350,8.301655
1486.468873,5.015019
1487.859396,3.861731
1489.249918,4.449141
1490.640441,5.859047
1492.030964,5.751942
1493.421487,5.813633
1494.812010,4.948865
1496.202533,3.770390
1497.593056,3.198521
1498.983579,4.542703
1500.374102,8.841656
1501.764625,5.991252
1503.155148,4.218902
1504.545671,3.098914
1505.936194,2.945890
1507.326717,2.868017
1508.717240,2.479112
1510.107763,3.698267
1511.498286,5.485778
1512.888809,4.821889
1514.279332,4.709920
1515.669855,4.365539
1517.060378,4.698190
1518.450901,3.907290
1519.841424,2.348826
1521.231946,2.616959
1522.622469,3.819105
1524.012992,3.177015
1525.403515,1.429175
1526.794038,2.654827
1528.184561,5.132280
1529.575084,4.995524
1530.965607,3.898021
1532.356130,3.556758
1533.746653,4.799533
1535.137176,6.747841
1536.527699,6.807497
1537.918222,3.447797
1539.308745,2.131926
1540.699268,2.883988
1542.089791,3.189418
1543.480314,2.499227
1544.870837,3.101135
1546.261360,3.934247
1547.651883,4.050946
1549.042406,3.669670
1550.432929,3.225256
1551.823452,1.974344
1553.213974,0.487598
1554.604497,1.023582
1555.995020,2.220751
1557.385543,2.603490
1558.776066,3.200516
1560.166589,3.639880
1561.557112,3.634916
1562.947635,3.984105
1564.338158,7.106129
1565.728681,7.084676
1567.119204,5.888660
1568.509727,6.872020
1569.900250,6.751756
1571.290773,6.166027
1572.681296,3.861843
1574.071819,1.641304
1575.462342,3.027436
1576.852865,5.518931
1578.243388,5.582782
1579.633911,3.398620
1581.024434,2.389739
1582.414957,4.417292
1583.805480,7.398224
1585.196002,7.783835
1586.586525,5.882150
1587.977048,5.490451
1589.367571,6.518903
1590.758094,5.896239
1592.148617,4.964605
1593.539140,5.338518
1594.929663,5.910790
1596.320186,6.874969
1597.710709,9.360096
