"k","i"
916.35,84.0855
917.74,83.5626
919.14,83.35
920.53,82.7564
921.92,81.6765
923.31,81.5118
924.7,81.6922
926.09,81.6496
927.48,81.9425
928.87,81.7977
930.26,81.934
931.65,81.8772
933.04,81.6995
934.43,81.9755
935.82,81.4464
937.21,79.9158
938.6,79.4221
939.99,79.2447
941.38,78.612
942.77,77.9973
944.16,77.6713
945.56,78.1989
946.95,78.1811
948.34,77.7297
949.73,78.2226
951.12,78.4275
952.51,77.6181
953.9,77.1807
955.29,77.4226
956.68,77.2562
958.07,77.3205
959.46,77.3406
960.85,77.1895
962.24,76.9442
963.63,75.9498
965.02,75.3841
966.41,75.5119
967.8,75.8936
969.19,76.1894
970.58,76.4025
971.98,76.0118
973.37,74.7887
974.76,74.0868
976.15,73.5843
977.54,73.26
978.93,72.9732
980.32,73.0399
981.71,72.5806
983.1,72.4307
984.49,72.5574
985.88,71.8494
987.27,71.1237
988.66,70.4184
990.05,69.6018
991.44,68.942
992.83,68.8905
994.22,68.0304
995.61,66.6786
997,65.7444
998.4,65.0883
999.79,63.9387
1001.18,63.0755
1002.57,62.7159
1003.96,61.2259
1005.35,59.6924
1006.74,59.1579
1008.13,58.3591
1009.52,56.2798
1010.91,54.1522
1012.3,52.9309
1013.69,52.3672
1015.08,51.5949
1016.47,49.9833
1017.86,48.6743
1019.25,47.663
1020.64,46.8765
1022.03,46.1271
1023.42,45.1962
1024.82,44.1874
1026.21,43.6124
1027.6,43.8411
1028.99,43.8802
1030.38,43.8854
1031.77,43.2183
1033.16,41.8585
1034.55,40.3472
1035.94,38.7974
1037.33,36.8445
1038.72,35.1849
1040.11,36.5671
1041.5,44.3904
1042.89,51.2415
1044.28,49.3605
1045.67,44.2437
1047.06,39.9207
1048.45,37.1107
1049.84,35.2956
1051.24,34.2556
1052.63,33.907
1054.02,34.7891
1055.41,35.1761
1056.8,35.6333
1058.19,37.4649
1059.58,39.1723
1060.97,41.2148
1062.36,44.5176
1063.75,47.7593
1065.14,50.6339
1066.53,53.7867
1067.92,55.2828
1069.31,56.267
1070.7,57.5725
1072.09,57.6875
1073.48,56.5386
1074.87,56.85
1076.26,57.694
1077.66,57.9389
1079.05,58.2677
1080.44,57.8138
1081.83,56.9832
1083.22,56.2532
1084.61,56.1506
1086,56.5565
1087.39,56.5175
1088.78,56.7894
1090.17,57.2435
1091.56,57.6673
1092.95,57.9381
1094.34,57.438
1095.73,56.5441
1097.12,56.5475
1098.51,56.2965
1099.9,55.4393
1101.29,55.2443
1102.68,55.457
1104.08,55.2794
1105.47,53.6844
1106.86,53.1442
1108.25,54.1875
1109.64,53.8861
1111.03,53.1892
1112.42,53.1384
1113.81,53.4003
1115.2,53.6356
1116.59,53.8631
1117.98,53.881
1119.37,52.8497
1120.76,51.8399
1122.15,52.6573
1123.54,53.3552
1124.93,53.3724
1126.32,52.7056
1127.71,52.1545
1129.1,51.8998
1130.49,52.1455
1131.89,52.2988
1133.28,50.706
1134.67,48.3505
1136.06,48.4186
1137.45,49.6846
1138.84,50.4692
1140.23,50.7648
1141.62,50.1861
1143.01,49.3791
1144.4,49.3475
1145.79,49.0565
1147.18,48.0815
1148.57,47.2742
1149.96,47.1366
1151.35,46.8732
1152.74,46.6214
1154.13,46.5256
1155.52,46.7124
1156.91,47.343
1158.31,47.3083
1159.7,47.4461
1161.09,47.6114
1162.48,47.048
1163.87,45.3962
1165.26,45.3474
1166.65,46.3726
1168.04,47.0365
1169.43,47.2201
1170.82,46.7247
1172.21,44.8338
1173.6,42.9644
1174.99,43.0177
1176.38,44.1164
1177.77,44.9088
1179.16,44.3712
1180.55,44.0364
1181.94,44.4778
1183.33,44.7027
1184.73,44.2526
1186.12,42.6842
1187.51,43.2228
1188.9,44.5649
1190.29,44.7609
1191.68,44.4613
1193.07,44.4464
1194.46,44.3624
1195.85,43.2565
1197.24,41.07
1198.63,40.7941
1200.02,42.656
1201.41,43.6313
1202.8,43.8798
1204.19,43.463
1205.58,42.692
1206.97,42.2374
1208.36,41.7339
1209.75,40.0639
1211.15,38.1824
1212.54,38.4694
1213.93,39.7304
1215.32,40.4818
1216.71,40.186
1218.1,39.494
1219.49,39.1018
1220.88,38.9155
1222.27,38.2002
1223.66,36.8723
1225.05,36.7419
1226.44,38.2684
1227.83,39.2101
1229.22,39.3593
1230.61,40.4467
1232,40.838
1233.39,40.3858
1234.78,38.8297
1236.17,36.9857
1237.57,36.5434
1238.96,37.2368
1240.35,36.4551
1241.74,34.0336
1243.13,31.6326
1244.52,31.5937
1245.91,32.5124
1247.3,33.1123
1248.69,34.1441
1250.08,34.071
1251.47,32.3605
1252.86,29.8591
1254.25,29.4805
1255.64,29.7757
1257.03,28.5079
1258.42,25.1776
1259.81,22.9917
1261.2,25.1427
1262.59,26.4253
1263.99,24.8615
1265.38,23.7231
1266.77,23.2431
1268.16,21.3991
1269.55,19.918
1270.94,19.8355
1272.33,22.4357
1273.72,23.8769
1275.11,23.2477
1276.5,23.3239
1277.89,24.3921
1279.28,24.4011
1280.67,23.0085
1282.06,22.4256
1283.45,24.2992
1284.84,25.3006
1286.23,22.4558
1287.62,19.8556
1289.01,21.1721
1290.41,23.3274
1291.8,23.3786
1293.19,22.3656
1294.58,20.3024
1295.97,18.3839
1297.36,17.7531
1298.75,18.678
1300.14,17.3759
1301.53,13.3743
1302.92,10.9545
1304.31,11.1531
1305.7,15.5877
1307.09,20.5822
1308.48,22.9408
1309.87,23.035
1311.26,20.7246
1312.65,19.8684
1314.04,21.6018
1315.43,21.7115
1316.83,19.5123
1318.22,18.7392
1319.61,20.262
1321,22.9023
1322.39,24.9074
1323.78,25.8678
1325.17,24.3848
1326.56,22.0704
1327.95,22.5331
1329.34,23.7511
1330.73,22.4147
1332.12,20.9572
1333.51,22.3203
1334.9,20.6782
1336.29,15.2366
1337.68,12.0535
1339.07,14.096
1340.46,15.5831
1341.85,17.8562
1343.24,20.4764
1344.64,20.8904
1346.03,18.8287
1347.42,18.1342
1348.81,19.6824
1350.2,20.3506
1351.59,20.322
1352.98,19.4009
1354.37,17.5561
1355.76,17.9796
1357.15,19.9161
1358.54,19.3036
1359.93,15.1903
1361.32,12.9873
1362.71,13.4811
1364.1,16.7966
1365.49,19.5545
1366.88,18.1046
1368.27,16.7008
1369.66,18.6443
1371.06,17.1096
1372.45,13.1422
1373.84,13.041
1375.23,14.8689
1376.62,17.073
1378.01,17.5032
1379.4,18.9128
1380.79,19.976
