ASCII data file created by Hadley Centre routine mkascii_file.pro on Thu Feb 21 16:09:26 2013
TITLE:
global_mean anomaly series

FILE FORMAT:
Variable      Format    Description

Mon           A3        Month  
Yr            I6        Year
XXXhPa        F8.1      Anomaly at XXXhPa

NOTES:
Anomalies are given in units of Kelvin
Missing data are shown as -999.0


Mon   Yr   850hPa  700hPa  500hPa  300hPa  200hPa  150hPa  100hPa   50hPa   30hPa
Oct  1989     0.3     0.3     0.3     0.3     0.2    -0.1    -0.0    -0.0    -0.3
Nov  1989     0.1     0.0     0.1     0.2     0.1     0.2    -0.1    -0.5    -0.8
Dec  1989     0.2     0.2     0.2     0.3     0.3     0.2    -0.2    -0.6    -0.5
Jan  1990     0.3     0.2     0.2     0.4     0.5    -0.0    -0.4    -0.5    -0.4
Feb  1990     0.6     0.4     0.2     0.1     0.1     0.2    -0.1    -0.8    -0.9
Mar  1990     0.7     0.5     0.5     0.5     0.6     0.3    -0.1    -0.5    -0.4
Apr  1990     0.3     0.3     0.3     0.2     0.5     0.7     0.2    -0.3    -0.4
May  1990     0.2     0.2     0.4     0.6     0.6     0.6     0.1    -0.2    -0.0
Jun  1990     0.5     0.4     0.6     0.7     0.8     0.5    -0.2    -0.2    -0.1
Jul  1990     0.4     0.3     0.3     0.4     0.4     0.1    -0.1    -0.3    -0.1
Aug  1990     0.4     0.3     0.3     0.4     0.4     0.3    -0.3    -0.4    -0.3
Sep  1990     0.2     0.1     0.2     0.3     0.4     0.2     0.0    -0.4    -0.3
Oct  1990     0.4     0.5     0.6     0.5     0.0    -0.1    -0.5    -0.7    -0.4
Nov  1990     0.7     0.7     0.7     0.8     0.3    -0.0    -0.3    -0.1    -0.0
Dec  1990     0.3     0.3     0.6     0.8     0.4    -0.1     0.1    -0.3    -0.1
Jan  1991     0.3     0.3     0.3     0.6     0.3    -0.0    -0.2    -0.5    -0.4
Feb  1991     0.2     0.2     0.4     0.6     0.5     0.5    -0.2    -1.0    -0.6
Mar  1991     0.4     0.5     0.7     0.6     0.2     0.3    -0.1    -0.6    -0.5
Apr  1991     0.3     0.2     0.2     0.2     0.1    -0.1    -0.1    -0.4    -0.3
May  1991     0.2     0.4     0.5     0.6     0.2    -0.1    -0.2    -0.5    -0.4
Jun  1991     0.6     0.7     0.7     0.7     0.2     0.1    -0.2    -0.5    -0.4
Jul  1991     0.5     0.4     0.4     0.5     0.2     0.2     0.1     0.1     0.3
Aug  1991     0.4     0.5     0.6     0.7     0.5     0.5     0.2     1.1     1.2
Sep  1991     0.5     0.4     0.4     0.5     0.7     0.8     0.7     1.7     1.7
Oct  1991     0.4     0.2     0.1     0.2     0.2     0.1     0.7     1.4     1.4
Nov  1991     0.1     0.1     0.1     0.1     0.1     0.2     0.2     1.2     0.8
Dec  1991     0.1    -0.0     0.0    -0.1     0.1     0.3     0.4     1.2     0.9
Jan  1992     0.3     0.3     0.1    -0.2    -0.1     0.3     0.4     0.9     1.0
Feb  1992     0.2     0.1    -0.1     0.0     0.4     0.3     0.2     0.9     0.6
Mar  1992     0.4     0.2     0.2    -0.2    -0.0     0.5     0.5     1.1     1.1
Apr  1992     0.2     0.2     0.1    -0.1    -0.4     0.1     0.8     0.9     0.6
May  1992     0.0    -0.0     0.1     0.1    -0.2     0.0     0.3     0.8     0.5
Jun  1992     0.1     0.0    -0.0     0.0    -0.0     0.3     0.2     0.4    -0.3
Jul  1992    -0.2    -0.1    -0.2    -0.1    -0.1     0.0     0.4     0.4    -0.6
Aug  1992    -0.0    -0.2    -0.1    -0.3     0.0     0.3     0.5     0.6     0.1
Sep  1992    -0.2    -0.1    -0.1     0.0     0.3     0.3     0.6     0.8    -0.5
Oct  1992    -0.1     0.0     0.1     0.1     0.0    -0.0     0.1     0.3    -0.9
Nov  1992    -0.0     0.0     0.0    -0.0    -0.1    -0.1    -0.1     0.4    -0.5
Dec  1992    -0.0     0.0    -0.1    -0.3     0.0     0.1     0.1     0.3    -0.7
Jan  1993    -0.0    -0.2    -0.1    -0.1    -0.3    -0.4     0.1     0.1    -0.4
Feb  1993     0.0     0.1     0.1    -0.1    -0.4    -0.6    -0.1     0.0    -0.5
Mar  1993    -0.0    -0.1    -0.2    -0.3    -0.6    -0.8    -0.4    -0.3    -0.5
Apr  1993     0.0    -0.1    -0.1    -0.3    -0.6    -0.8    -0.6    -0.6    -0.6
May  1993     0.0     0.1     0.1     0.1    -0.5    -0.6    -0.5    -0.7    -0.6
Jun  1993     0.1     0.1     0.2     0.3    -0.2    -0.5    -0.6    -0.8    -0.5
Jul  1993     0.3     0.3     0.5     0.4    -0.3    -0.5    -0.4    -1.1    -0.8
Aug  1993     0.1     0.1     0.2     0.1    -0.2    -0.4    -0.5    -1.2    -0.5
Sep  1993    -0.2    -0.0    -0.0    -0.1    -0.4    -0.8    -0.7    -1.3    -1.0
Oct  1993     0.0     0.1     0.2     0.3    -0.3    -0.6    -0.5    -0.9    -0.8
Nov  1993    -0.2    -0.0     0.0     0.1    -0.1    -0.4    -0.3    -1.0    -1.3
Dec  1993     0.1     0.3     0.5     0.6    -0.2    -0.6    -0.8    -1.5    -1.6
Jan  1994     0.2     0.1     0.1     0.1    -0.4    -0.5    -0.5    -1.2    -1.3
Feb  1994    -0.0     0.1     0.2     0.1    -0.5    -0.6    -0.6    -0.9    -1.0
Mar  1994     0.0     0.0    -0.1    -0.1    -0.6    -0.6    -0.5    -0.7    -1.0
Apr  1994     0.2     0.1     0.1     0.1    -0.3    -0.5    -0.6    -0.8    -1.1
May  1994     0.2     0.1     0.1     0.4     0.1    -0.4    -0.5    -1.0    -1.4
Jun  1994     0.4     0.4     0.4     0.4    -0.2    -0.4    -0.0    -1.3    -1.6
Jul  1994     0.3     0.2     0.4     0.6     0.0    -0.1    -0.5    -1.0    -1.1
Aug  1994     0.1     0.1     0.2     0.4     0.1    -0.1    -0.3    -1.0    -1.1
Sep  1994     0.2     0.1     0.2     0.3     0.3     0.1    -0.4    -1.2    -1.0
Oct  1994     0.1    -0.0    -0.1    -0.1    -0.2    -0.2    -0.4    -1.3    -1.3
Nov  1994     0.2     0.1     0.1     0.3     0.3    -0.1    -0.2    -1.4    -1.8
Dec  1994     0.4     0.4     0.4     0.4     0.3     0.2    -0.6    -1.8    -1.6
Jan  1995     0.2     0.3     0.3     0.3     0.1    -0.1    -0.7    -1.5    -1.2
Feb  1995     0.5     0.4     0.2     0.0    -0.3    -0.3    -0.6    -1.5    -1.3
Mar  1995    -0.0     0.1     0.1     0.1    -0.3    -0.5    -0.8    -0.9    -0.7
Apr  1995     0.4     0.4     0.3     0.3    -0.2    -0.2    -0.5    -1.3    -1.2
May  1995     0.2     0.1     0.2     0.3    -0.1    -0.5    -0.6    -1.6    -1.3
Jun  1995     0.3     0.3     0.2     0.2    -0.1    -0.3    -0.8    -1.6    -1.0
Jul  1995     0.1    -0.1    -0.1     0.0    -0.4    -0.4    -0.6    -1.3    -1.2
Aug  1995     0.5     0.5     0.5     0.5    -0.2    -0.5    -0.9    -1.8    -1.3
Sep  1995     0.4     0.3     0.5     0.4    -0.0    -0.0    -0.8    -1.3    -1.1
Oct  1995     0.3     0.3     0.3     0.2    -0.2    -0.4    -0.8    -1.2    -1.0
Nov  1995     0.4     0.3     0.3     0.2    -0.3    -0.4    -0.7    -1.0    -1.2
Dec  1995    -0.1    -0.1    -0.1    -0.1    -0.9    -1.0    -1.0    -1.6    -1.4
Jan  1996     0.2    -0.0     0.0    -0.2    -0.8    -1.1    -1.3    -1.4    -1.2
Feb  1996     0.0    -0.1    -0.1    -0.2    -0.5    -0.7    -0.9    -0.8    -0.6
Mar  1996     0.0     0.0     0.2     0.0    -0.2    -0.2    -0.7    -1.0    -1.4
Apr  1996    -0.1    -0.1    -0.0     0.1    -0.0    -0.5    -0.9    -1.1    -1.2
May  1996     0.1     0.1     0.1     0.1    -0.2    -0.6    -0.9    -1.0    -1.3
Jun  1996     0.2     0.1     0.0     0.0    -0.1    -0.4    -0.8    -1.3    -1.5
Jul  1996     0.3     0.3     0.1    -0.0     0.1    -0.2    -1.2    -1.8    -2.0
Aug  1996     0.3     0.2    -0.0    -0.0     0.3     0.0    -0.8    -1.8    -1.9
Sep  1996     0.3     0.3     0.3     0.3     0.5     0.4    -0.7    -1.6    -1.9
Oct  1996     0.2     0.3     0.3     0.3    -0.0    -0.3    -1.0    -1.6    -1.4
Nov  1996     0.1     0.1     0.0     0.2     0.3    -0.1    -0.6    -1.0    -1.1
Dec  1996     0.1    -0.0    -0.1     0.2     0.4     0.2    -0.5    -1.4    -2.0
Jan  1997    -0.0    -0.0     0.0     0.1    -0.1    -0.3    -0.7    -2.0    -2.0
Feb  1997     0.3     0.2     0.2     0.4     0.2    -0.5    -1.1    -1.4    -1.6
Mar  1997     0.2     0.2    -0.0    -0.2     0.0     0.2    -0.8    -1.0    -0.9
Apr  1997    -0.1    -0.3    -0.4    -0.7    -0.6    -0.3    -0.8    -0.8    -1.5
May  1997     0.2     0.2     0.1    -0.0    -0.3    -0.2    -1.0    -1.5    -1.5
Jun  1997     0.2     0.0    -0.1    -0.2    -0.4    -0.1    -0.6    -1.3    -1.2
Jul  1997     0.0     0.2     0.3     0.4     0.5     0.2    -1.0    -1.2    -1.1
Aug  1997     0.2     0.2     0.2     0.4     0.3     0.2    -0.7    -1.5    -1.6
Sep  1997     0.2     0.2     0.1     0.3     0.3     0.1    -1.0    -1.6    -1.6
Oct  1997     0.2     0.1     0.1     0.1     0.2    -0.1    -0.8    -1.5    -1.3
Nov  1997     0.3     0.2     0.1     0.2    -0.0    -0.3    -0.2    -1.5    -2.0
Dec  1997     0.3     0.4     0.4     0.7    -0.0    -0.5    -0.3    -2.3    -2.2
Jan  1998     0.6     0.7     0.8     0.9     0.4     0.3    -0.2    -2.6    -1.8
Feb  1998     0.9     1.0     1.0     1.0     0.3     0.4     0.2    -1.9    -1.7
Mar  1998     0.4     0.6     0.7     1.1     0.2     0.2     0.0    -1.7    -1.6
Apr  1998     0.7     0.9     1.1     1.2     0.5     0.2     0.1    -1.2    -1.4
May  1998     0.8     1.0     1.1     1.2     0.5     0.4     0.2    -1.5    -1.9
Jun  1998     0.8     0.9     0.9     1.0     0.9     0.6    -0.2    -1.6    -2.0
Jul  1998     0.8     0.7     0.8     0.9     0.7     0.4    -0.3    -1.2    -1.6
Aug  1998     0.7     0.6     0.7     0.8     0.7     0.4    -0.3    -1.4    -1.6
Sep  1998     0.5     0.6     0.8     1.0     0.9     0.3    -0.2    -1.2    -1.1
Oct  1998     0.5     0.7     0.8     1.0     0.5     0.1    -0.5    -1.3    -1.3
Nov  1998     0.4     0.4     0.5     0.4     0.1    -0.2    -0.7    -1.5    -1.5
Dec  1998     0.6     0.5     0.5     0.7     0.2    -0.3    -0.5    -1.5    -2.1
Jan  1999     0.6     0.4     0.4     0.6     0.5     0.0    -1.0    -2.1    -2.5
Feb  1999     0.7     0.5     0.5     0.4    -0.0    -0.3    -0.9    -1.9    -1.7
Mar  1999     0.1     0.1     0.0     0.2     0.3    -0.2    -0.9    -2.4    -1.9
Apr  1999     0.1     0.0    -0.0     0.3     0.7     0.2    -1.1    -2.0    -2.0
May  1999     0.0     0.2     0.1     0.1     0.0    -0.4    -1.1    -1.7    -2.0
Jun  1999     0.1    -0.1    -0.2    -0.1    -0.1    -0.4    -0.8    -1.2    -1.5
Jul  1999     0.3     0.2     0.4     0.4    -0.3    -0.8    -0.6    -1.1    -1.3
Aug  1999     0.4     0.2     0.2     0.3    -0.1    -0.7    -0.7    -1.0    -1.2
Sep  1999     0.6     0.5     0.4     0.3    -0.3    -0.8    -0.6    -1.3    -1.2
Oct  1999     0.4     0.4     0.3     0.2    -0.3    -0.7    -0.7    -0.9    -0.8
Nov  1999    -0.0    -0.0     0.1    -0.1    -0.3    -0.5    -0.5    -0.6    -1.0
Dec  1999     0.1     0.1     0.1     0.3     0.2    -0.1    -0.7    -0.9    -0.9
Jan  2000    -0.2    -0.3    -0.2    -0.1    -0.4    -0.7    -1.0    -1.0    -1.0
Feb  2000     0.2     0.1     0.1     0.1    -0.7    -0.8    -0.8    -0.8    -0.7
Mar  2000     0.2     0.1     0.1     0.2    -0.3    -0.6    -0.9    -0.9    -1.1
Apr  2000     0.5     0.5     0.3     0.2    -0.4    -0.8    -1.0    -0.9    -0.6
May  2000     0.1     0.3     0.3     0.3     0.1    -0.5    -1.0    -1.0    -0.9
Jun  2000     0.2     0.3     0.3     0.1    -0.4    -0.9    -0.8    -1.0    -1.1
Jul  2000     0.4     0.3     0.2     0.2    -0.2    -0.5    -0.7    -0.7    -1.1
Aug  2000     0.3     0.1    -0.0    -0.1    -0.4    -0.8    -1.0    -1.3    -1.8
Sep  2000     0.4     0.3     0.2     0.1    -0.3    -0.6    -0.8    -1.5    -1.9
Oct  2000     0.1     0.3     0.3     0.3    -0.2    -0.5    -0.8    -1.9    -2.4
Nov  2000     0.0     0.1     0.1    -0.0    -0.2    -0.3    -0.8    -2.4    -2.2
Dec  2000     0.2     0.2     0.2     0.4     0.2    -0.0    -0.5    -2.3    -2.0
Jan  2001     0.3     0.2     0.1    -0.0    -0.4    -0.6    -0.9    -1.7    -1.2
Feb  2001     0.3     0.3     0.4     0.7     0.1    -0.1    -0.8    -2.3    -2.0
Mar  2001     0.4     0.3     0.2     0.1    -0.4    -0.2    -0.4    -1.8    -1.8
Apr  2001     0.3     0.4     0.5     0.3    -0.1    -0.3    -0.8    -1.0    -1.3
May  2001     0.4     0.5     0.3     0.2     0.2     0.2    -0.6    -0.8    -1.5
Jun  2001     0.4     0.3     0.2    -0.1    -0.1    -0.3    -0.4    -0.9    -1.3
Jul  2001     0.3     0.4     0.3     0.1    -0.3    -0.3    -0.7    -1.5    -1.4
Aug  2001     0.5     0.6     0.6     0.4     0.3     0.1    -0.3    -0.7    -1.0
Sep  2001     0.5     0.5     0.4     0.2    -0.6    -0.4    -0.4    -1.2    -1.3
Oct  2001     0.4     0.5     0.5     0.4     0.2     0.1    -0.6    -0.8    -0.8
Nov  2001     0.3     0.3     0.5     0.3     0.2    -0.1    -0.7    -0.9    -1.2
Dec  2001     0.3     0.3     0.3     0.1     0.1     0.3    -0.4    -1.1    -1.5
Jan  2002     0.6     0.6     0.5     0.4     0.2     0.4    -0.4    -1.7    -2.0
Feb  2002     0.4     0.5     0.5     0.3     0.3     0.3    -0.5    -1.5    -1.6
Mar  2002     0.6     0.5     0.4     0.3     0.2     0.2    -0.3    -1.2    -1.0
Apr  2002     0.5     0.5     0.5     0.4    -0.3    -0.3    -0.5    -1.4    -1.2
May  2002     0.5     0.5     0.5     0.4     0.0    -0.1    -0.4    -1.5    -1.6
Jun  2002     0.4     0.6     0.6     0.6     0.0    -0.4    -0.5    -1.7    -1.6
Jul  2002     0.6     0.6     0.6     0.6     0.3     0.2    -0.7    -1.7    -1.7
Aug  2002     0.4     0.3     0.4     0.5     0.6     0.4    -0.5    -1.3    -1.7
Sep  2002     0.5     0.4     0.4     0.6     0.5     0.5    -0.5    -1.6    -2.1
Oct  2002     0.5     0.5     0.3     0.3     0.2    -0.2    -1.2    -2.6    -2.1
Nov  2002     0.7     0.7     0.5     0.5    -0.0    -0.4    -1.0    -1.9    -1.5
Dec  2002     0.3     0.3     0.3     0.3    -0.0     0.1     0.2    -1.8    -1.6
Jan  2003     0.6     0.8     0.7     0.5     0.0     0.1    -0.2    -1.8    -1.6
Feb  2003     0.4     0.6     0.4     0.6     0.4     0.3    -0.2    -1.5    -1.2
Mar  2003     0.4     0.4     0.4     0.3    -0.3    -0.1    -0.3    -1.3    -1.4
Apr  2003     0.4     0.5     0.5     0.4    -0.3    -0.3    -0.4    -1.1    -1.4
May  2003     0.6     0.5     0.5     0.5     0.1     0.2    -0.5    -1.0    -1.3
Jun  2003     0.5     0.2     0.3     0.3     0.1    -0.3    -0.6    -1.0    -1.2
Jul  2003     0.4     0.4     0.4     0.2     0.1    -0.0    -0.4    -1.0    -1.4
Aug  2003     0.4     0.5     0.4     0.3    -0.1    -0.0    -0.5    -1.2    -1.7
Sep  2003     0.5     0.4     0.4     0.5     0.5     0.1    -0.4    -0.9    -1.3
Oct  2003     0.3     0.3     0.4     0.5     0.4     0.2    -0.5    -1.4    -2.0
Nov  2003     0.5     0.6     0.6     0.5    -0.1    -0.4    -0.9    -1.8    -1.9
Dec  2003     0.7     0.8     1.0     1.0     0.2    -0.1    -0.6    -1.7    -1.4
Jan  2004     0.3     0.4     0.3     0.2     0.2     0.2    -0.5    -2.4    -2.5
Feb  2004     0.4     0.3     0.4     0.7     0.3     0.2    -0.3    -2.2    -2.1
Mar  2004     0.3     0.5     0.6     0.7     0.9     0.7    -0.4    -1.6    -1.4
Apr  2004     0.6     0.4     0.5     0.4     0.1     0.4    -0.2    -1.5    -1.4
May  2004     0.3     0.4     0.4     0.5     0.5     0.7    -0.3    -1.3    -1.3
Jun  2004     0.4     0.3     0.3     0.3     0.3     0.1    -0.7    -1.3    -1.2
Jul  2004     0.0     0.1    -0.1    -0.2     0.2    -0.1    -0.4    -0.9    -1.2
Aug  2004     0.2     0.3     0.2     0.1     0.2     0.1    -0.8    -1.0    -1.3
Sep  2004     0.4     0.3     0.4     0.4     0.0    -0.2    -0.5    -1.1    -1.5
Oct  2004     0.6     0.4     0.5     0.3    -0.0    -0.2    -0.7    -1.5    -1.9
Nov  2004     0.6     0.6     0.4     0.3    -0.2    -0.4    -0.4    -1.3    -1.1
Dec  2004     0.3     0.2     0.2     0.1    -0.1    -0.1    -0.2    -1.2    -1.1
Jan  2005     0.6     0.7     0.8     0.6     0.0    -0.2    -0.4    -1.2    -1.2
Feb  2005     0.5     0.6     0.4     0.3     0.1     0.2    -0.4    -1.0    -1.3
Mar  2005     0.5     0.4     0.5     0.3    -0.2     0.2     0.2    -1.2    -1.6
Apr  2005     0.8     0.7     0.8     0.7     0.3     0.3    -0.4    -0.9    -0.7
May  2005     0.6     0.5     0.3     0.3    -0.1    -0.1    -0.3    -1.1    -1.5
Jun  2005     0.7     0.5     0.5     0.4    -0.0    -0.1    -0.8    -1.6    -2.2
Jul  2005     0.5     0.6     0.7     0.6     0.2    -0.2    -0.8    -1.4    -1.8
Aug  2005     0.5     0.6     0.6     0.4    -0.0    -0.1    -0.7    -1.7    -1.8
Sep  2005     0.8     0.7     0.7     0.6     0.5     0.5    -0.4    -1.4    -2.0
Oct  2005     0.8     0.8     0.8     0.6     0.4    -0.0    -0.5    -1.7    -2.2
Nov  2005     0.7     0.6     0.5     0.5     0.2    -0.2    -0.8    -1.6    -1.5
Dec  2005     0.7     0.6     0.6     0.4    -0.2    -0.1    -0.6    -1.8    -2.0
Jan  2006     0.4     0.6     0.6     0.6     0.4     0.1    -0.9    -2.5    -2.6
Feb  2006     0.4     0.4     0.5     0.3     0.4     0.6    -0.3    -2.3    -2.2
Mar  2006     0.4     0.3     0.3     0.5     0.6     0.2    -0.6    -1.7    -1.6
Apr  2006     0.6     0.6     0.5     0.3     0.3    -0.1    -0.6    -1.0    -1.9
May  2006     0.3     0.2     0.1    -0.1     0.0     0.1    -0.4    -1.2    -1.3
Jun  2006     0.4     0.3     0.4     0.3    -0.2    -0.4    -0.7    -1.4    -1.1
Jul  2006     0.5     0.5     0.6     0.9     0.6     0.3    -0.5    -1.4    -1.2
Aug  2006     0.7     0.7     0.5     0.4     0.3     0.1    -0.4    -1.0    -1.0
Sep  2006     0.7     0.7     0.8     0.5    -0.3    -0.5    -0.7    -1.2    -1.3
Oct  2006     0.6     0.7     0.8     0.6    -0.1    -0.3    -0.5    -1.3    -1.3
Nov  2006     0.6     0.6     0.5     0.2    -0.5    -0.9    -0.5    -0.9    -0.9
Dec  2006     0.5     0.6     0.6     0.4    -0.4    -0.3    -0.5    -1.3    -1.6
Jan  2007     0.8     1.0     1.1     0.9     0.3     0.1    -0.5    -1.5    -1.4
Feb  2007     0.8     0.5     0.3     0.2    -0.3    -0.1    -0.3    -1.3    -1.2
Mar  2007     0.8     0.8     0.8     0.8    -0.1    -0.5    -0.8    -1.5    -1.4
Apr  2007     0.6     0.5     0.5     0.1    -0.4    -0.5    -0.8    -1.0    -1.0
May  2007     0.7     0.6     0.7     0.6    -0.1    -0.4    -0.7    -1.1    -1.3
Jun  2007     0.4     0.4     0.4     0.3    -0.2    -0.4    -0.3    -1.2    -1.5
Jul  2007     0.5     0.5     0.5     0.5    -0.2    -0.1    -0.6    -1.9    -2.3
Aug  2007     0.7     0.9     0.9     0.7     0.3    -0.1    -0.7    -1.7    -2.0
Sep  2007     0.6     0.7     0.7     0.6     0.6    -0.1    -0.5    -1.4    -2.1
Oct  2007     0.6     0.5     0.5     0.5     0.3    -0.3    -0.9    -2.0    -2.6
Nov  2007     0.4     0.4     0.3     0.4     0.4    -0.2    -1.0    -1.7    -1.5
Dec  2007     0.5     0.4     0.5     0.3    -0.3    -0.3    -0.8    -1.3    -1.5
Jan  2008     0.3     0.3     0.3     0.0     0.2    -0.3    -1.0    -1.5    -1.6
Feb  2008    -0.1     0.0     0.2     0.4     0.4     0.1    -1.1    -1.3    -2.0
Mar  2008     0.7     0.3     0.1    -0.1    -0.1    -0.5    -0.9    -1.2    -1.7
Apr  2008     0.4     0.2     0.1    -0.2    -0.3    -0.4    -0.9    -1.1    -1.8
May  2008     0.2     0.1     0.0    -0.3    -0.1    -0.1    -0.9    -1.0    -1.4
Jun  2008     0.3     0.3     0.3     0.2    -0.2    -0.6    -0.9    -1.3    -1.4
Jul  2008     0.6     0.5     0.3     0.2     0.1    -0.6    -0.8    -1.3    -1.6
Aug  2008     0.3     0.2     0.0    -0.1    -0.4    -0.8    -0.5    -1.2    -1.4
Sep  2008     0.5     0.5     0.5     0.2    -0.1    -0.3    -0.6    -1.2    -1.3
Oct  2008     0.4     0.4     0.4     0.3    -0.2    -0.6    -0.5    -1.4    -1.7
Nov  2008     0.4     0.5     0.5     0.4    -0.2    -0.6    -0.9    -1.6    -1.6
Dec  2008     0.5     0.5     0.3     0.2    -0.3    -0.5    -0.1    -0.9    -0.9
Jan  2009     0.4     0.4     0.5     0.3     0.2    -0.1    -1.0    -1.7    -1.6
Feb  2009     0.5     0.5     0.5     0.6     0.8     0.1    -0.6    -2.1    -2.1
Mar  2009     0.5     0.4     0.2     0.3     0.1    -0.1    -0.5    -1.5    -1.4
Apr  2009     0.4     0.4     0.4     0.1    -0.3    -0.5    -0.6    -1.0    -1.1
May  2009     0.4     0.3     0.2     0.1    -0.4    -0.5    -0.5    -0.7    -1.0
Jun  2009     0.4     0.3     0.2    -0.1    -0.8    -0.5    -0.8    -1.3    -1.5
Jul  2009     0.4     0.4     0.5     0.5    -0.1    -0.1    -0.7    -1.5    -1.8
Aug  2009     0.7     0.6     0.6     0.4     0.0     0.3    -0.3    -1.1    -1.6
Sep  2009     0.8     0.9     1.0     0.7     0.3     0.2    -0.5    -1.2    -2.0
Oct  2009     0.4     0.4     0.5     0.6     0.2    -0.0    -0.7    -1.7    -2.5
Nov  2009     0.7     0.8     0.9     0.9     0.3    -0.2    -0.5    -1.4    -1.6
Dec  2009     0.3     0.4     0.5     0.4     0.1     0.2    -0.0    -1.8    -2.0
Jan  2010     0.8     1.0     1.2     0.8     0.2    -0.1    -0.7    -2.0    -1.7
Feb  2010     0.8     0.9     0.8     0.6     0.4     0.6    -0.3    -2.0    -1.9
Mar  2010     0.8     0.8     1.0     0.9     0.3     0.2    -0.1    -1.7    -2.0
Apr  2010     0.6     0.7     0.8     0.8     0.4     0.1    -0.3    -1.3    -1.6
May  2010     0.8     0.9     1.0     1.0     0.6     0.5     0.0    -1.0    -1.6
Jun  2010     0.6     0.8     0.8     1.0     0.3     0.2    -0.1    -0.9    -1.1
Jul  2010     0.6     0.8     1.0     1.1     0.6     0.2    -0.5    -1.5    -1.8
Aug  2010     0.8     1.0     1.0     1.1     1.3     0.2    -0.7    -1.4    -2.0
Sep  2010     0.6     0.7     0.9     1.0     1.0     0.1    -0.5    -1.3    -1.6
Oct  2010     0.5     0.7     0.8     0.7     0.4     0.1    -0.6    -1.6    -1.7
Nov  2010     0.7     0.5     0.7     0.4    -0.0    -0.2    -0.6    -1.0    -0.7
Dec  2010     0.4     0.7     0.8     0.6    -0.2    -0.5    -0.3    -0.9    -0.8
Jan  2011     0.2     0.4     0.5     0.4     0.1    -0.6    -1.0    -1.3    -1.1
Feb  2011     0.3     0.3     0.3     0.5     0.3    -0.6    -0.8    -0.9    -1.1
Mar  2011     0.0     0.1     0.2     0.2    -0.2    -0.9    -1.0    -0.8    -1.3
Apr  2011     0.3     0.4     0.4     0.2    -0.5    -1.0    -1.6    -1.4    -1.7
May  2011     0.1     0.3     0.3     0.4     0.2     0.0    -1.1    -1.5    -1.9
Jun  2011     0.5     0.8     0.8     0.5     0.3    -0.1    -1.1    -1.3    -1.7
Jul  2011     0.5     0.6     0.6     0.8     0.4    -0.1    -1.0    -1.5    -1.9
Aug  2011     0.7     0.8     0.8     0.6     0.0    -0.3    -0.9    -1.7    -2.1
Sep  2011     0.6     0.6     0.8     0.7     0.3    -0.2    -0.7    -1.1    -1.0
Oct  2011     0.4     0.5     0.6     0.2    -0.2    -0.4    -0.8    -1.3    -1.5
Nov  2011     0.3     0.5     0.5     0.4    -0.1    -0.5    -0.9    -1.2    -1.3
Dec  2011     0.4     0.4     0.6     0.4    -0.6    -0.7    -0.7    -1.3    -1.5
Jan  2012     0.1     0.1     0.1     0.2    -0.5    -0.6    -1.2    -1.6    -1.3
Feb  2012     0.1     0.0     0.1     0.1    -0.1    -0.1    -0.9    -1.9    -2.0
Mar  2012     0.3     0.4     0.5     0.6     0.4    -0.2    -1.2    -1.7    -1.6
Apr  2012     0.8     0.7     0.6     0.5     0.0    -0.3    -0.8    -1.5    -1.3
May  2012     0.6     0.6     0.5     0.3     0.3    -0.1    -1.0    -1.2    -1.6
Jun  2012     0.5     0.5     0.5     0.5     0.4     0.1    -0.9    -0.9    -1.4
Jul  2012     0.4     0.7     0.6     0.5     0.1    -0.2    -0.8    -1.2    -1.7
Aug  2012     0.6     0.8     0.6     0.6     0.6     0.1    -1.1    -1.3    -1.9
Sep  2012     0.7     0.8     0.9     0.8     0.6     0.1    -0.7    -1.1    -2.0
Oct  2012     0.8     0.6     0.7     0.6     0.6     0.1    -1.1    -1.7    -2.6
Nov  2012     0.8     0.8     0.7     0.6    -0.1    -0.1    -1.0    -1.9    -1.7
Dec  2012     0.5     0.5     0.6     0.6     0.2    -0.1    -0.8    -1.7    -1.5
