time (yyyy),Irradiance (W/m^2)
1966,1361.0046
1967,1361.2255
1968,1361.3062
1969,1361.3796
1970,1361.3784
1971,1361.0425
1972,1361.1027
1973,1360.8672
1974,1360.7735
1975,1360.718
1976,1360.6971
1977,1360.893
1978,1361.2187
1979,1361.6041
1980,1361.6423
1981,1361.6858
1982,1361.2336
1983,1361.2162
1984,1360.7929
1985,1360.6356
1986,1360.6442
1987,1360.7853
1988,1361.122
1989,1361.6458
1990,1361.5546
1991,1361.5203
1992,1361.3107
1993,1360.9452
1994,1360.7444
1995,1360.7342
1996,1360.6788
1997,1360.8097
1998,1361.1784
1999,1361.4825
2000,1361.6628
2001,1361.5711
2002,1361.6357
2003,1361.02
2004,1360.9186
2005,1360.7522
2006,1360.6731
2007,1360.5711
2008,1360.538
2009,1360.5567
2010,1360.8024
2011,1361.0743
2012,1361.241
2013,1361.3588
2014,1361.3959
2015,1361.4291
2016,1361.0082
2017,1360.7502
