year, cps composite, uncertainty
119,NaN,NaN
120,NaN,NaN
121,NaN,NaN
122,NaN,NaN
123,NaN,NaN
124,NaN,NaN
125,NaN,NaN
126,NaN,NaN
127,NaN,NaN
128,NaN,NaN
129,NaN,NaN
130,NaN,NaN
131,NaN,NaN
132,NaN,NaN
133,NaN,NaN
134,NaN,NaN
135,NaN,NaN
136,NaN,NaN
137,NaN,NaN
138,NaN,NaN
139,NaN,NaN
140,NaN,NaN
141,NaN,NaN
142,NaN,NaN
143,NaN,NaN
144,NaN,NaN
145,NaN,NaN
146,NaN,NaN
147,NaN,NaN
148,NaN,NaN
149,NaN,NaN
150,NaN,NaN
151,NaN,NaN
152,NaN,NaN
153,NaN,NaN
154,NaN,NaN
155,NaN,NaN
156,NaN,NaN
157,NaN,NaN
158,NaN,NaN
159,NaN,NaN
160,NaN,NaN
161,NaN,NaN
162,NaN,NaN
163,NaN,NaN
164,NaN,NaN
165,NaN,NaN
166,NaN,NaN
167,NaN,NaN
168,NaN,NaN
169,NaN,NaN
170,NaN,NaN
171,NaN,NaN
172,NaN,NaN
173,NaN,NaN
174,NaN,NaN
175,NaN,NaN
176,NaN,NaN
177,NaN,NaN
178,NaN,NaN
179,NaN,NaN
180,NaN,NaN
181,NaN,NaN
182,NaN,NaN
183,NaN,NaN
184,NaN,NaN
185,NaN,NaN
186,NaN,NaN
187,NaN,NaN
188,NaN,NaN
189,NaN,NaN
190,NaN,NaN
191,NaN,NaN
192,NaN,NaN
193,NaN,NaN
194,NaN,NaN
195,NaN,NaN
196,NaN,NaN
197,NaN,NaN
198,NaN,NaN
199,NaN,NaN
200,0.20169,NaN
201,0.10892,NaN
202,-0.011217,NaN
203,-0.13535,NaN
204,-0.24451,NaN
205,-0.32763,NaN
206,-0.38255,NaN
207,-0.41438,NaN
208,-0.43232,NaN
209,-0.44618,NaN
210,-0.46361,NaN
211,-0.4889,NaN
212,-0.52302,NaN
213,-0.56469,NaN
214,-0.61138,NaN
215,-0.65986,NaN
216,-0.70615,NaN
217,-0.7452,NaN
218,-0.77103,NaN
219,-0.77769,NaN
220,-0.76115,NaN
221,-0.72146,NaN
222,-0.66431,NaN
223,-0.6009,NaN
224,-0.54565,NaN
225,-0.51224,NaN
226,-0.5089,NaN
227,-0.53478,NaN
228,-0.57882,NaN
229,-0.622,NaN
230,-0.64243,NaN
231,-0.62214,NaN
