STORM NAME,LANDFALL DATE,DAMAGE RANK,CURRENT DAMAGE ($ 2014),BASE DAMAGE ($),LANDFALL STATE,CATEGORY,WINDS(MPH)
Ginger,"Sep 30,1971","165","230,000,000","10,000,000",NC,1,85
Danny,"Jul 19,1997","166","220,000,000","100,000,000",LA,1,80
Amelia,"Jul 30,1978","167","220,000,000","20,000,000",TX,TS,50
Storm 1 in 1942,"Aug 21,1942","168","220,000,000","601,000",TX,1,85
Hanna,"Sep 06,2008","170","210,000,000","160,000,000",SC,TS,70
Beryl,"Aug 15,1994","169","210,000,000","73,000,000",FL,TS,60
Gaston,"Aug 29,2004","171","200,000,000","130,000,000",SC,1,75
Earl,"Sep 02,1998","172","180,000,000","79,000,000",FL,1,80
Storm 5 in 1941,"Oct 06,1941","174","180,000,000","337,500",FL,2,105
Storm 2 in 1929,"Sep 30,1929","173","180,000,000","200,000",FL,1,75
Able,"Aug 30,1952","175","170,000,000","2,750,000",SC,1,85
Danny,"Aug 15,1985","176","170,000,000","50,000,000",LA,1,90
Dennis,"Aug 17,1981","177","170,000,000","25,000,000",FL,TS,40
Storm 3 in 1936,"Jun 27,1936","178","160,000,000","550,000",TX,1,85
Bob,"Jul 25,1985","180","150,000,000","20,000,000",SC,1,75
Charley,"Aug 14,2004","179","150,000,000","90,000,000",SC,1,80
Subtrop 1 1974,"Jun 25,1974","181","150,000,000","10,000,000",FL,TS,65
Storm 2 in 1929,"Sep 28,1929","182","140,000,000","100,000",FL,3,105
Jerry,"Aug 23,1995","184","120,000,000","40,600,000",FL,TS,40
Mitch,"Nov 05,1998","183","120,000,000","40,000,000",FL,TS,65
Emily,"Aug 31,1993","185","110,000,000","35,000,000",NC,3,115
Inez,"Oct 04,1966","188","110,000,000","5,000,000",FL,1,85
Not Named 1960,"Jun 23,1960","187","110,000,000","3,600,000",TX,TS,40
Not Named 1959,"Jun 18,1959","186","110,000,000","1,656,000",FL,TD,35
Ophelia,"Sep 15,2005","189","100,000,000","70,000,000",NC,1,75
Bret,"Aug 22,1999","190","100,000,000","60,000,000",TX,3,115
Storm 1 in 1929,"Jun 28,1929","192","100,000,000","675,000",TX,1,80
Charley,"Aug 22,1998","191","100,000,000","50,000,000",TX,TS,45
Storm 5 in 1936,"Jul 31,1936","193","90,000,000","123,000",FL,2,105
Elena,"Sep 01,1979","194","86,000,000","10,000,000",TX,TS,40
Storm 5 in 1941,"Oct 07,1941","195","82,000,000","337,500",FL,2,105
Bill,"Jun 30,2003","196","80,000,000","50,000,000",LA,TS,60
Bob,"Jul 11,1979","197","78,000,000","20,000,000",LA,1,85
Babe,"Sep 05,1977","198","74,000,000","10,000,000",LA,1,85
Subtrop 1 1982,"Jun 18,1982","199","68,000,000","10,000,000",FL,TS,45
Charley,"Aug 17,1986","200","66,000,000","15,000,000",NC,1,75
Barbara,"Aug 13,1953","201","65,000,000","1,000,000",NC,1,85
Esther,"Sep 18,1957","202","62,000,000","1,500,000",LA,TS,50
Candy,"Jun 23,1968","203","58,000,000","3,000,000",TX,TS,85
Barry,"Aug 05,2001","204","56,000,000","30,000,000",FL,TS,70
Humberto,"Sep 13,2007","205","55,000,000","50,000,000",TX,1,90
Arlene,"Jun 20,1993","206","52,000,000","22,000,000",TX,TS,40
Alma,"Aug 28,1962","207","48,000,000","1,000,000",NC,TS,40
Abby,"Jun 04,1968","208","44,000,000","450,000",FL,TS,70
Storm 5 in 1948,"Sep 04,1948","209","41,000,000","900,000",LA,1,85
Ethel,"Sep 15,1960","210","39,000,000","1,060,000",MS,1,85
Storm 3 in 1947,"Aug 24,1947","211","38,000,000","200,000",TX,1,85
Storm 6 in 1947,"Sep 23,1947","213","37,000,000","100,000",FL,TS,60
Abby,"Aug 07,1964","212","37,000,000","750,000",TX,TS,65
Carrie,"Sep 04,1972","215","35,000,000","1,780,000",MA,TS,60
Carol,"Aug 30,1954","214","35,000,000","227,500",NC,2,105
Hanna,"Sep 14,2002","216","32,000,000","20,000,000",MS,TS,60
Helene,"Sep 25,2000","217","32,000,000","16,000,000",FL,TS,40
Harvey,"Sep 21,1999","218","31,000,000","15,000,000",FL,TS,60
Daisy,"Oct 07,1962","219","28,000,000","1,100,000",ME,TS,60
Storm 2 in 1938,"Aug 14,1938","220","27,000,000","245,000",LA,1,85
Unnamed,"Aug 10,1987","222","23,000,000","7,400,000",TX,TS,45
Gordon,"Sep 17,2000","221","23,000,000","10,800,000",FL,TS,65
Earl,"Sep 02,2010","223","20,000,000","18,000,000",NC,TS,70
Florence,"Sep 26,1953","224","18,000,000","200,000",FL,1,85
Storm 7 in 1947,"Oct 06,1947","225","17,000,000","100,000",FL,TS,45
Keith,"Nov 23,1988","226","13,000,000","3,000,000",FL,TS,65
Arlene,"May 30,1959","227","13,000,000","500,000",LA,TS,45
Alex,"Jun 30,2010","228","12,000,000","10,000,000",TX,TS,70
Kyle,"Oct 11,2002","229","9,000,000","5,000,000",SC,TS,40
Fay,"Sep 07,2002","230","7,000,000","4,500,000",TX,TS,60
Isidore,"Sep 27,1984","231","7,000,000","1,000,000",FL,TS,60
Bonnie,"Jun 26,1986","233","6,000,000","2,000,000",TX,1,85
Alex,"Aug 03,2004","232","6,000,000","4,000,000",NC,1,80
Allison,"Jun 05,1995","234","5,000,000","1,700,000",FL,TS,70
Chris,"Sep 11,1982","236","4,000,000","2,000,000",LA,TS,65
Florence,"Sep 09,1988","237","4,000,000","2,920,000",LA,1,80
Beryl,"Aug 09,1988","235","4,000,000","3,000,000",LA,TS,50
Chris,"Aug 28,1988","238","2,000,000","500,000",GA,TS,45
Floyd,"Oct 12,1987","240","1,000,000","500,000",FL,1,75
Dean,"Jul 30,1995","239","1,000,000","500,000",TX,TS,45
Gustav,"Sep 10,2002","241","200,000","100,000",NC,TS,65
Storm 3 in 1903,"Sep 13,1903","242","0","0",FL,1,90

